,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
39,Kersley Street,1850000,House,1910,5,5,5,,London,SW11 4PT
40,Battersea Bridge Road,525000,New development,590,1,1,1,,London,SW11 3AU
41,Larkhall Rise,2200000,House,2239,4,4,4,,London,SW4 6HS
42,Ashley Park Avenue,3450000,House,5599,6,6,6,Walton-on-Thames,Surrey,KT12 1EU
43,Carlisle Mansions,1999999,Flat / Apartment,1608,3,3,3, Victoria,London,SW1P 1EZ
44,Park Close,725000,House,884,3,3,3,South Hackney,London,E9 7LF
45,Century Court,1750000,Flat / Apartment,1232,2,2,2,Grove End Road,London,NW8 9LD
46,Eaton Square,5250000,Flat / Apartment,2299,3,3,3,,London,SW1W 9DF
47,Hornsey Town Hall,1250000,New development,1307,3,3,3,Crouch End,London,N8 9JJ
48,"The oTTo, Hackney",490000,New development,570,1,1,1, Downs Road,Clapton,E5 8DS
49,Francis House,3350000,Penthouse,2185,3,3,3,Coleridge Gardens,London,SW10 0RP
50,Wendle Square,1000000,Flat / Apartment,1228,3,3,3,Battersea,London,SW11 4SS
51,Rectory Road,2350000,House,2511,4,4,4,Barnes,London,SW13 0DX
52,Prince Edward Mansions,1250000,Flat / Apartment,811,2,2,2, Bayswater,London,W2 4WA
53,Fernwood Avenue,1250000,House,2498,6,6,6,,London,SW16 1RD
54,Havilland Mews,595000,Flat / Apartment,643,2,2,2,,London,W12 8BG
55,Hampermill Lane,1675000,House,5022,3,3,3,Watford,Hertfordshire,WD19 4PL
56,Gatehill Road,2595000,House,4858,6,6,6,Northwood,Middlesex,HA6 3QF
57,St. Davids Mews,820000,House,974,3,3,3,Morgan Street,London,E3 5AZ
58,Chester Close South,830000,Flat / Apartment,850,2,2,2,Regent's Park,London,NW1 4JG
59,Lady Somerset Road,500000,Flat / Apartment,458,1,1,1,Kentish Town,London,NW5 1TX
60,Nicholas Way,2500000,House,5999,7,7,7,Northwood,Middlesex,HA6 2TR
61,Queens Grove,7500000,House,3851,6,6,6,St John's Wood,London,NW8 6EN
62,Enmore Road,749950,Flat / Apartment,1382,3,3,3,Putney,London,SW15 6LL
63,The Chase,480000,Flat / Apartment,448,1,1,1,,London,SW4 0NP
64,Weymouth Mews,3500000,House,1763,4,4,4,Marylebone,London,W1G 7EB
65,Portland Place,2100000,Flat / Apartment,1208,3,3,3,Marylebone,London,W1B 1NX
66,Ternary Place,650000,New development,1023,2,2,2, Ealing,London,W5 3HJ
67,Weston Park,1050000,House,1693,4,4,4,Thames Ditton,Surrey,KT7 0HQ
68,Lysias Road,1300000,House,1890,5,5,5,,London,SW12 8BW
69,Prince Henry Road,625000,House,1348,4,4,4,Kidbrooke,London,SE7 8PP
70,Kirby Street,625000,Flat / Apartment,540,1,1,1,Clerkenwell,London,EC1N 8TE
71,Great Peter Street,1100000,New development,791,2,2,2,Westminster,London,SW1P 2BN
72,Walton Street,5950000,House,2646,4,4,4,,London,SW3 1RE
73,Chatto Road,1325000,House,1375,4,4,4,,London,SW11 6LL
74,Redcliffe Square,1250000,Flat / Apartment,1068,2,2,2,,London,SW10 9JY
75,Elm Park Lane,2300000,House,1119,3,3,3,,London,SW3 6DB
76,Fassett Square,1500000,House,1811,4,4,4,Hackney,London,E8 1DQ
77,Duckman Tower,799995,Flat / Apartment,942,3,3,3, Canary Wharf,London,E14 9BL
78,St. Stephens Crescent,795000,Flat / Apartment,495,1,1,1,,London,W2 5QT
79,West Grove,525000,House,829,2,2,2,Woodford Green,Essex,IG8 7NP
80,Ackmar Road,2595000,House,2120,5,5,5,Fulham,London,SW6 4UP
81,Romney House,820000,Flat / Apartment,631,2,2,2, Westminster,London,SW1P 3DS
82,Seymour Gardens,1200000,House,2108,4,4,4,Surbiton,Surrey,KT5 8QE
83,Sycamore Gardens,680000,Flat / Apartment,705,2,2,2,,London,W6 0AP
84,Meredyth Road,2300000,House,2083,5,5,5,Barnes,London,SW13 0DS
85,Baronsmead Road,4000000,House,3714,5,5,5,Barnes,London,SW13 9RR
86,Sisters Avenue,500000,Flat / Apartment,516,2,2,2,,London,SW11 5SQ
87,Warrington Gardens,1275000,Flat / Apartment,1185,3,3,3,Little Venice,London,W9 2PZ
88,Pembroke Villas,4500000,House,2972,3,3,3,,London,W8 6PG
89,North End Road,1750000,House,2125,4,4,4,Hampstead,London,NW11 7SY
90,Heath Hurst Road,2600000,House,2350,4,4,4,Hampstead,London,NW3 2RU
91,Tercelet Terrace,3450000,House,2354,4,4,4, Hampstead,London,NW3 7LW
92,Buckingham Gate,2375000,Flat / Apartment,1218,2,2,2,St. James's,London,SW1E 6LB
93,Camelot Close,1995000,House,1841,5,5,5,Wimbledon,London,SW19 7EA
94,Clarendon Close,1000000,House,1154,4,4,4,South Hackney,London,E9 7BY
95,Manor Place Depot,687500,New development,1178,3,3,3,,London,SE17 3BD
96,Molyneux Street,2450000,House,1483,3,3,3,,London,W1H 5HW
97,Gatti House,3500000,Flat / Apartment,1770,2,2,2,410 Strand,London,WC2R 0NR
98,Stanmore Way,1225000,New development,2487,5,5,5,Loughton,Essex,IG10 2SA
99,Thornhill Crescent,850000,Flat / Apartment,773,2,2,2,Barnsbury,London,N1 1BJ
100,Belsize Square,780000,Flat / Apartment,654,2,2,2,,London,NW3 4HL
101,Ditton Grove,399950,New development,697,2,2,2,Esher,Surrey,KT10 9FN
102,Milton Road,900000,House,1081,3,3,3,,London,SW14 8JP
103,Drakefield Road,2500000,House,3986,6,6,6,,London,SW17 8RR
104,Chiswick High Road,575000,Flat / Apartment,773,2,2,2,Chiswick,London,W4 4AG
105,Bewick Street,1250000,House,1708,5,5,5,,London,SW8 3TA
106,Overstrand Mansions,1575000,Flat / Apartment,1580,3,3,3,Prince of Wales Drive,London,SW11 4EZ
107,Somerset Road,4750000,House,6602,6,6,6,Wimbledon,London,SW19 5JZ
108,Burleigh Place,1175000,House,1909,4,4,4,Putney,London,SW15 6ES
109,Smarts Lane,695000,House,1337,3,3,3,Loughton,Essex,IG10 4BU
110,Ladbroke Crescent & Basement,1000000,House,2125,2,2,2,131 Ladbroke Grove,London,W11 1PS
111,Barts Square,1635000,New development,903,2,2,2, City Of London,London,EC1A 9DS
112,Gleneldon Road,1850000,House,3753,6,6,6,,London,SW16 2BZ
113,Windsor Court,2400000,Flat / Apartment,1736,4,4,4, Bayswater,London,W2 4SN
114,The oTTo,785000,New development,1173,2,2,2, The Otto Buildings,Downs Road,E5 8DS
115,Ruxley Crescent,1800000,New development,3877,4,4,4, Esher,Surrey,KT10 0TX
116,Sydney House,1300000,Flat / Apartment,1465,3,3,3,Woodstock Road,London,W4 1DP
117,Waldemar Avenue,1750000,House,1580,4,4,4,Fulham,London,SW6 5NA
118,Newstead Way,1495000,House,2300,4,4,4,,London,SW19 5HR
119,Crescent Road,1855000,House,2917,5,5,5,Kingston upon Thames,Surrey,KT2 7RD
120,Melody Road,1625000,House,1953,4,4,4,,London,SW18 2QF
121,Hasker Street,3150000,House,1449,3,3,3,,London,SW3 2LE
122,Spring Terrace,5250000,House,4745,7,7,7,Richmond,Surrey,TW9 1LW
123,Montague Road,6000000,House,4798,6,6,6,Richmond,Surrey,TW10 6QW
124,Fairfax Mews,1395000,House,1902,5,5,5,Putney,London,SW15 6FF
125,Clapham Common South Side,800000,Flat / Apartment,922,2,2,2,,London,SW4 9DX
126,Ormond Yard,3695000,House,2316,4,4,4,St James's,London,SW1Y 6JT
127,Cadogan Square,2200000,Flat / Apartment,1195,2,2,2,,London,SW1X 0JL
128,Cadogan Square,1175000,Flat / Apartment,687,2,2,2,,London,SW1X 0JL
129,Aubrey Walk,9500000,House,4815,5,5,5,,London,W8 7JG
130,Oakwood Court,3100000,Flat / Apartment,2470,4,4,4,Holland Park,London,W14 8JS
131,Barnsbury Park,5500000,House,3674,4,4,4,Islington,London,N1 1HQ
132,Fieldsway House,925000,Flat / Apartment,1012,3,3,3, Highbury,London,N5 1QA
133,Mare Street,260000,Studio,381,0,0,0,Hackney,London,E8 3RH
134,Reliance Wharf,550000,Flat / Apartment,547,1,1,1,Hertford Road,London,N1 5ET
135,Gayton Road,2400000,House,2202,5,5,5,Hampstead,London,NW3 1TU
136,Ram Quarter,580000,New development,460,1,1,1, Wandsworth,London,SW18 1TH
137,Grimston Road,2300000,House,2785,5,5,5,Fulham,London,SW6 3QR
138,Balham Grove,1200000,House,1270,3,3,3,,London,SW12 8BE
139,Fernside Road,1500000,House,1934,5,5,5,,London,SW12 8LH
140,Walsingham Place,2250000,House,2605,5,5,5,,London,SW4 9RR
141,Englewood Road,1500000,House,2047,4,4,4,,London,SW12 9NZ
142,Streathbourne Road,2150000,House,2850,5,5,5,,London,SW17 8RA
143,Rowfant Road,1595000,House,2555,6,6,6,,London,SW17 7AP
144,Tantallon Road,1565000,House,2088,5,5,5,,London,SW12 8DH
145,Honeybrook Road,1500000,House,2173,5,5,5,,London,SW12 0DL
146,Fenn Mansions,400000,Flat / Apartment,774,2,2,2,20 Love Lane,London,SE18 6GY
147,New Providence Wharf,415000,Flat / Apartment,525,1,1,1, Canary Wharf,London,E14 9PW
148,Enclave Court,1395000,Penthouse,1230,2,2,2,2 Dallington Street,London,EC1V 0BH
149,Fairfax Road,2800000,House,2734,6,6,6, Chiswick,London,W4 1EN
150,Redcliffe Gardens,1195000,Flat / Apartment,872,2,2,2,Chelsea,London,SW10 9HA
151,Drayton Court,2750000,Flat / Apartment,1839,4,4,4,Drayton Gardens,London,SW10 9RH
152,Lower Mall,6950000,House,5501,6,6,6,Hammersmith,London,W6 9DJ
153,Albert Bridge Road,2750000,House,2675,4,4,4,Battersea,London,SW11 4PX
154,Ridgway,525000,Flat / Apartment,514,2,2,2,Wimbledon,London,SW19 4SX
155,Lowndes Square,5450000,Flat / Apartment,1920,3,3,3,,London,SW1X 9HB
156,Basilica Mews,2325000,New development,2392,4,4,4,,Thurleigh Road,SW12 8UF
157,Devonshire Mews South,3750000,House,3256,3,3,3,Marylebone,London,W1G 6QW
158,Ovington Gardens,1750000,Flat / Apartment,714,2,2,2,,London,SW3 1LS
159,Cubitt Building,750000,Flat / Apartment,604,1,1,1, Chelsea,London,SW1W 8QL
160,Iverna Court,3150000,Flat / Apartment,1755,4,4,4,,London,W8 6TS
161,Selborne Villas,1150000,House,2357,4,4,4, Esher,Surrey,KT10 9UD
162,Waleorde Road,575000,Flat / Apartment,800,2,2,2,,London,SE17 1GG
163,Louisville Road,1250000,House,2475,6,6,6,,London,SW17 8RU
164,Dance Square,650000,Flat / Apartment,584,1,1,1, Clerkenwell,London,EC1V 3AN
165,Cranbrook Road,1295000,House,1356,4,4,4,Chiswick,London,W4 2LH
166,Buer Road,765000,Flat / Apartment,1362,3,3,3, Fulham,London,SW6 4LA
167,Lillian Road,1100000,House,1420,3,3,3,Barnes,London,SW13 9JF
168,Ranelagh Avenue,2350000,House,2153,4,4,4,Barnes,London,SW13 0BL
169,Hillbrook Road,965000,House,1222,4,4,4,Tooting Bec,London,SW17  8SF
170,Weller Court,1750000,Flat / Apartment,732,1,1,1, Holland Park,London,W11 3NT
171,"The oTTo, Hackney",800000,New development,1119,2,2,2, Clapton,E5 8DE,E5 8DS
172,The Grange,1050000,House,2375,5,5,5, Walton-on-Thames,Surrey,KT12 3HN
173,Stuart Tower,475000,Flat / Apartment,525,1,1,1,105 Maida Vale,London,W9 1UJ
174,Abbey Road Cross,752500,New development,874,2,2,2,131-143 Belsize Road,London,NW6 4BR
175,Littleworth Avenue,2795000,House,6061,7,7,7,Esher,Surrey,KT10 9PB
176,Ruxley Crescent,1750000,New development,3913,4,4,4, Esher,Surrey,KT10 0TX
177,Clapham Common West Side,2995000,House,3406,5,5,5,Between The Commons,London,SW4 9AU
178,Parkfield Avenue,1825000,House,2500,5,5,5,,London,SW14 8DY
179,Sutherland House,550000,Flat / Apartment,609,2,2,2,137-139 Queenstown Road,London,SW8 3RJ
180,Hambalt Road,1850000,House,2516,5,5,5,,London,SW4 9EL
181,Ormond House,625000,Flat / Apartment,428,1,1,1, Westminster,London,SW1P 2TB
182,Buckingham Gate,2290000,Flat / Apartment,1604,2,2,2,St. James's,London,SW1E 6LB
183,Radnor Walk,3450000,House,1820,5,5,5,Chelsea,London,SW3 4BN
184,King Henrys Road,995000,Flat / Apartment,710,2,2,2,Primrose Hill,London,NW3 3QR
185,Montgomery Road,850000,Flat / Apartment,935,2,2,2,Chiswick,London,W4 5LZ
186,Palace Gardens Terrace,1850000,Flat / Apartment,924,3,3,3,,London,W8 4SA
187,Acer Road,940000,House,1074,3,3,3,Hackney,London,E8 3GX
188,Corkran Road,1595000,House,3261,5,5,5,Surbiton,Surrey,KT6 6PN
189,Grosvenor Avenue,1275000,House,1779,4,4,4,,London,SW14 8BT
190,Enmore Gardens,1325000,House,1541,4,4,4,,London,SW14 8RF
191,Oxhey Road,850000,House,1687,4,4,4,Oxhey,Hertfordshire,WD19 4QG
192,Lavender Sweep,650000,Flat / Apartment,859,2,2,2,,London,SW11 1EA
193,Horsell Road,1695000,House,1944,5,5,5,Highbury,London,N5 1XP
194,Avon Court,399995,Flat / Apartment,472,1,1,1, Canary Wharf,London,E14 7SZ
195,Lower Belgrave Street,4650000,House,2865,4,4,4,Belgravia,London,SW1W 0LN
196,Harper Lane,1650000,House,4016,8,8,8, Radlett,Hertfordshire,WD7 9HJ
197,Donne Place,2800000,House,1448,3,3,3,,London,SW3 2NH
198,Oakley Road,1100000,Flat / Apartment,1056,3,3,3,,London,N1 3LL
199,Goldhurst House,2650000,Flat / Apartment,1811,3,3,3, Parr's Way,London,W6 9AN
200,Telford Avenue,1575000,House,2550,5,5,5,,London,SW2 4XL
201,Colosseum Terrace,850000,Flat / Apartment,726,2,2,2,Albany Street,London,NW1 4EB
202,Rede Place,2700000,House,1791,3,3,3,Notting Hill,London,W2 4TU
203,Tennyson Road,695000,House,795,2,2,2,Wimbledon,London,SW19 8SH
204,Coleford Road,1400000,House,1799,4,4,4,London,Wandsworth,SW18 1AD
205,St. Anns Terrace,2050000,House,1293,3,3,3,St John's Wood,London,NW8 6PJ
206,Durward Street,615000,Flat / Apartment,972,2,2,2,Whitechapel,London,E1 5BA
207,Fairacres,1000000,Flat / Apartment,1777,3,3,3, Putney,London,SW15 5LX
208,Clapham Park Road,315000,Flat / Apartment,526,1,1,1,,London,SW4 7EX
209,Moore House,1850000,New development,1328,3,3,3,2 Gatliff Road,London,SW1W 8DT
210,Graham Terrace,2895000,House,1289,3,3,3,,London,SW1W 8HN
211,Whiston House,450000,Flat / Apartment,459,1,1,1,Bingham Court,London,N1 2DH
212,Grand Avenue,500000,House,963,2,2,2,Surbiton,Surrey,KT5 9HU
213,Tooting Bec Road,675000,Flat / Apartment,949,2,2,2,,London,SW17 8BW
214,Dance Square,650000,Flat / Apartment,583,1,1,1,Peartree Street,Clerkenwell,EC1V 3AN
215,Flanders Road,1395000,House,1068,1,1,1,Chiswick,London,W4 1NB
216,The Spinney,2395000,House,4966,5,5,5, Oxshott,Surrey,KT22 0PL
217,Astley House,725000,Flat / Apartment,858,3,3,3,42 Trinity Church Road,London,SW13 8EA
218,Suffolk Road,2000000,House,2525,4,4,4,Barnes,London,SW13 9PH
219,Raynham Road,1350000,House,1328,3,3,3,Brackenbury Village,London,W6 0HY
220,Henning Street,2100000,House,2191,4,4,4,Battersea,London,SW11 3DR
221,The Mount,3650000,House,8034,6,6,6,Esher,Surrey,KT10 8LQ
222,Palewell Park,1850000,House,1892,4,4,4,,London,SW14 8JJ
223,Cranbourne Court,1500000,Flat / Apartment,1132,3,3,3,Albert Bridge Road,London,SW11 4PE
224,Rothwell Street,3625000,House,2190,4,4,4,Primrose Hill,London,NW1 8YH
225,New Concordia Wharf,1500000,Flat / Apartment,1274,2,2,2,Mill Street,London,SE1 2BB
226,Castelnau,525000,Flat / Apartment,630,2,2,2,Barnes,London,SW13 9ER
227,Banbury House,290000,Flat / Apartment,455,1,1,1,Banbury Road,London,E9 7ED
228,Putney Heath Lane,1725000,House,2931,5,5,5,Putney,London,SW15 3JG
229,Rydon Street,1395000,House,1510,3,3,3,Islington,London,N1 7AL
230,Aragon Tower,400000,Flat / Apartment,705,2,2,2,George Beard Road,Deptford,SE8 3AL
231,Cadogan Lane,3350000,House,1504,3,3,3,,London,SW1X 9DU
232,Cedar Mews,1795000,House,2067,4,4,4, Putney,London,SW15 6ED
233,Tormead,600000,Flat / Apartment,1160,2,2,2, Northwood,Middlesex,HA6 2BX
234,Kent Avenue,1500000,House,1997,4,4,4,Ealing,London,W13 8BH
235,Trefoil Road,1600000,House,2149,4,4,4,Wandsworth,London,SW18 2EQ
236,Thirlmere Road,1550000,House,3620,7,7,7,,London,SW16 1QW
237,The Regency,1325000,Flat / Apartment,1195,3,3,3, Westminster,London,SW1P 4HD
238,Murray Mews,1395000,House,1587,3,3,3,Camden,London,NW1 9RJ
239,Wilmington Square,735000,Flat / Apartment,849,2,2,2,,London,WC1X 0ER
240,Lynwood Road,825000,House,2094,4,4,4,Thames Ditton,Surrey,KT7 0DJ
241,Telfords Yard,1500000,Flat / Apartment,2550,3,3,3,,London,E1W 2BQ
242,Landmark East Tower,679000,Flat / Apartment,832,2,2,2, Canary Wharf,London,E14 9DB
243,Stanley Mansions,1500000,Flat / Apartment,1244,3,3,3,Park Walk,London,SW10 0AG
244,Ducks Hill Road,1000000,New development,1501,3,3,3,Northwood,Middlesex,HA6 2SB
245,Blomfield Road,4995000,House,3035,4,4,4,Little Venice,London,W9 2PF
246,Bingfield Street,625000,New development,723,2,2,2,,London,N1 0BH
247,Orsman Road,600000,Flat / Apartment,660,2,2,2,Hackney,London,N1 5QL
248,Cinnabar Wharf East,875000,Flat / Apartment,627,1,1,1,28 Wapping High Street,London,E1W 1NG
249,Boardwalk Place,565000,Flat / Apartment,872,2,2,2,Canary Wharf,London,E14 5SH
250,Carlyle Square,5850000,House,3128,5,5,5,,London,SW3 6EX
251,Burlington Lodge Studios,1250000,Flat / Apartment,1201,2,2,2,48 Rigault Road,London,SW6 4JJ
252,Eden House,1495000,New development,1781,4,4,4,New Road,London,N8 8TA
253,Fentiman Road,3100000,House,3800,8,8,8,,London,SW8 1QA
254,St. Marys Road,2900000,House,5896,7,7,7, Surbiton,Surrey,KT6 5EY
255,Rowfant Road,650000,Flat / Apartment,736,2,2,2,,London,SW17 7AP
256,Cleveland Gardens,2100000,House,2438,5,5,5,Barnes,London,SW13 0AJ
257,Elm Bank Gardens,2250000,House,2600,5,5,5,Barnes,London,SW13 0NT
258,Belleville Road,1695000,House,1867,5,5,5,,London,SW11 6QT
259,Cottenham Park Road,1375000,House,1884,4,4,4,Wimbledon,London,SW20 0SB
260,St. Stephen's Gardens,635000,Flat / Apartment,927,2,2,2,Putney,London,SW15 2RR
261,Upper St. Martin's Lane,2995000,Penthouse,1845,3,3,3,,London,WC2H 9DL
262,Egerton Gardens,1000000,House,1758,4,4,4,,Ealing,W13 8HQ
263,Alpine Grove,449950,Flat / Apartment,526,2,2,2,South Hackney,London,E9 7SX
264,Townshend Court,425000,Flat / Apartment,474,1,1,1,Shannon Place,London,NW8 7DP
265,High Road,650000,House,1783,3,3,3, Coulsdon,Surrey,CR5 3SD
266,Parkfields,1795000,House,1902,3,3,3,Putney,London,SW15 6NH
267,Fitzroy Road,1600000,Flat / Apartment,801,2,2,2,Primrose Hill,London,NW1 8TU
268,Culmstock Road,2050000,House,2275,5,5,5,,London,SW11 6LX
269,Mallinson Road,1150000,Flat / Apartment,1371,3,3,3,,London,SW11 1BW
270,South Terrace,995000,House,2446,5,5,5,,London,SW7 2TB
271,Union Wharf,675000,Flat / Apartment,792,1,1,1,23 Wenlock Road,London,N1 7SJ
272,Long & Waterson Apartments,1500000,New development,1273,3,3,3, Hackney,London,E2 8HN
273,ICON7,620000,New development,786,2,2,2, Holloway,London,N7 0JN
274,Branch Place,650000,Flat / Apartment,747,2,2,2,De Beauvoir,London,N1 5PH
275,Hermitage Court,500000,Flat / Apartment,663,1,1,1,Knighten Street,London,E1W 1PW
276,Kirkstall Road,1395000,House,2006,5,5,5,,London,SW2 4HF
277,St. Peters Square,2950000,House,3597,4,4,4,,London,W6 9AJ
278,Carlton House,765000,New development,841,2,2,2,Carlton Drive,London,SW15 2BS
279,Cleveland Gardens,1600000,House,1854,4,4,4,Barnes,London,SW13 0AH
280,Abercrombie Street,975000,House,1126,3,3,3,,London,SW11 2JB
281,Juer Street,1699999,House,2119,5,5,5,Battersea,London,SW11 4RF
282,Foxmore Street,950000,Flat / Apartment,1294,4,4,4,Battersea,London,SW11 4PU
283,Southwick Mews,2150000,House,1582,3,3,3,Paddington,London,W2 1JG
284,Pall Mall,2950000,Penthouse,1840,2,2,2,St James's,London,SW1Y 5JH
285,Tradewinds Court,650000,Flat / Apartment,882,2,2,2,Asher Way,London,E1W 2JB
286,Sunnyhill Road,950000,House,1700,4,4,4,,London,SW16 2UW
287,Leys Road,4825000,House,10475,7,7,7,Oxshott,Surrey,KT22 0QE
288,Lillian Road,1575000,House,1983,4,4,4,Barnes,London,SW13 9JG
289,Abercrombie Street,525000,Flat / Apartment,707,2,2,2,Battersea,London,SW11 2JB
290,Rutland Road,775000,Flat / Apartment,967,2,2,2,South Hackney,London,E9 7TT
291,Ruvigny Gardens,3250000,House,2210,3,3,3,Putney,London,SW15 1JR
292,Hazelwood Drive,775000,Bungalow,1459,4,4,4,Pinner,Middlesex,HA5 3TT
293,Roseneath Road,1775000,House,2153,5,5,5,,London,SW11 6AQ
294,Eton Avenue,3250000,House,2543,5,5,5,Hampstead,London,NW3 3HL
295,Creffield Road,595000,Flat / Apartment,760,2,2,2,,London,W5 3RP
296,Oakhill Road,525000,Flat / Apartment,540,1,1,1,Putney,London,SW15 2QU
297,Conway Road,2450000,House,3007,6,6,6,Wimbledon,London,SW20 8PA
298,Henfield Road,550000,House,538,2,2,2,Wimbledon,London,SW19 3HH
299,Melody Road,600000,Flat / Apartment,1024,1,1,1,,London,SW18 2QF
300,Fullerton Road,1450000,House,1984,5,5,5, Wandsworth,London,SW18 1BX
301,Eaton Row,5750000,House,2896,3,3,3,Belgravia,London,SW1W 0JA
302,Rutland Gardens,7500000,Flat / Apartment,1793,2,2,2,,London,SW7 1BX
303,Park View Court,180000,Flat / Apartment,745,2,2,2, Bow,London,E3 3AN
304,Paxton Close,699950,House,909,3,3,3,Richmond,Surrey,TW9 2AW
305,Hardwicke House,665000,Flat / Apartment,935,3,3,3, Richmond,Surrey,TW10 6PW
306,Kersfield House,210000,Studio,328,0,0,0, Putney,London,SW15 3HJ
307,Westminster Close,1550000,House,3112,5,5,5,Northwood,Middlesex,HA6 2TG
308,Church Road,865000,House,1292,3,3,3,,Northwood,HA6 1AR
309,Upper Grosvenor Street,18000000,House,8315,7,7,7,Mayfair,London,W1K 2NP
310,Barclay Oval,1100000,House,3153,5,5,5,Woodford Green,Essex,IG8 0PP
311,Thornhill Crescent,2850000,House,2857,5,5,5,Islington,London,N1 1BJ
312,Long & Waterson Apartments,550000,Penthouse,414,1,1,1, Hackney,London,E2 8HN
313,Long & Waterson Apartments,690000,New development,596,1,1,1, Hackney,London,E2 8HN
314,Ardwick Road,995000,Flat / Apartment,999,2,2,2,Fortune Green,London,NW2 2BX
315,Waynflete House,575000,Penthouse,1029,3,3,3, Esher,Surrey,KT10 9QS
316,94 Claygate,334950,Flat / Apartment,477,1,1,1, Claygate,Surrey,KT10 0RB
317,Carlton House,1000000,Penthouse,962,2,2,2,Putney,London,SW15 2FU
318,Queens Road,750000,House,1510,3,3,3,Thames Ditton,Surrey,KT7 0QX
319,Southborough Road,2100000,New development,3596,5,5,5,Surbiton,Surrey,KT6 6JN
320,Pavilion Park,1299000,New development,1903,4,4,4, East Molesey,Surrey,KT8 9DX
321,York Avenue,1900000,House,2358,4,4,4,,London,SW14 7LQ
322,Sutherland Gardens,1295000,House,1813,4,4,4,East Sheen,London,SW14 8DB
323,Turnstone House,1280000,Flat / Apartment,1169,2,2,2,Star Place,London,E1W 1AE
324,St. Marys Grove,1425000,House,2028,4,4,4, Chiswick,London,W4 3LL
325,Stanton Road,1795000,House,1720,4,4,4,Barnes,London,SW13 0EX
326,Afghan Road,1125000,House,1423,4,4,4,Battersea,London,SW11 2QD
327,Old Chesterton Building,945000,Flat / Apartment,1001,2,2,2,110 Battersea Park Road,London,SW11 4LZ
